Downloaded from wid.world on 31-07-2024 at 13:40:39
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1950;10930.2471
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1951;11117.8236
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1952;10334.5144
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1953;10674.7948
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1954;10903.0427
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1955;11467.7035
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1956;11575.811
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1957;11961.8
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1958;12481.3009
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1959;11476.8304
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1960;12168.2623
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1961;13342.4214
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1962;13002.279
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1963;12100.4989
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1964;13095.3901
Argentina;"agdpro_pall_992_i_AR
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2023)
";pall;1965;14225.8061
