Date,values
1996-02-29,1.0
1996-03-31,2.0
1996-04-30,3.0
1996-05-31,3.5467141530112327
1996-06-30,3.4170998982861165
1996-07-31,4.291467764336106
1996-08-31,5.850971738914435
1996-09-30,5.037824847011465
1996-10-31,4.606194159529771
1996-11-30,6.491542124634057
1996-12-31,6.764192371590849
1997-01-31,5.523912381273351
1997-02-28,6.0932018977609115
1997-03-31,5.573806395986632
1997-04-30,4.957366785187679
1997-05-31,5.404200741690875
1997-06-30,3.4663431773792133
1997-07-31,2.2494685527364484
1997-08-31,2.8073900195069332
1997-09-30,2.3927676001841034
1997-10-31,3.179070482286884
1997-11-30,2.6002113618574456
1997-12-31,1.5974336797945246
1998-01-31,4.0097841891525
1998-02-28,3.8207540108443516
1998-03-31,3.670015838238032
1998-04-30,2.5716812459295464
1998-05-31,2.7078600955859913
1998-06-30,3.47645075719189
1998-07-31,2.487642659159035
1998-08-31,3.360415228056649
1998-09-30,3.154539226798443
1998-10-31,3.088264518054686
1998-11-30,2.920021408777556
1998-12-31,5.226786719671304
1999-01-31,4.855565976220473
1999-02-28,3.421071901359353
1999-03-31,4.848820693110006
1999-04-30,3.730949400726608
1999-05-31,4.075754051093421
1999-06-30,2.472786677916619
1999-07-31,1.8215274693380226
1999-08-31,3.0723655672616914
1999-09-30,4.138985160831933
1999-10-31,4.072395851235246
1999-11-30,3.9389328763254112
1999-12-31,3.8833799136268525
2000-01-31,2.663207479920805
2000-02-29,2.6048582331375543
2000-03-31,2.8760346893089532
2000-04-30,4.3289433585970185
2000-05-31,4.534601384818586
2000-06-30,2.5432105147012867
2000-07-31,3.6162294064291056
2000-08-31,3.745226584991255
2000-09-30,3.085305912557159
2000-10-31,4.15310968403928
2000-11-30,5.325300838491876
2000-12-31,5.802131362445386
2001-01-31,4.496524757250125
2001-02-28,4.388482315937472
2001-03-31,5.119376971389491
2001-04-30,5.98302099417868
2001-05-31,5.031517022988872
2001-06-30,4.809551432847914
2001-07-31,3.964901805031408
2001-08-31,3.1468053821451236
2001-09-30,4.621614517106541
2001-10-31,5.9959295565890995
2001-11-30,5.223624440776278
2001-12-31,6.023415209988457
2002-01-31,6.214860600819137
2002-02-28,5.1380937635831465
2002-03-31,5.595096563794194
2002-04-30,7.160916764916865
2002-05-31,6.366633782612931
2002-06-30,7.463929089025406
2002-07-31,4.3456604676294965
2002-08-31,5.546712110405712
2002-09-30,5.96791273442549
2002-10-31,5.1719324149163155
2002-11-30,5.264463631590975
2002-12-31,3.3693183720725233
2003-01-31,3.7415483554133426
2003-02-28,4.673545810244988
2003-03-31,6.002485078044596
2003-04-30,4.897977463025759
2003-05-31,4.009776656220323
2003-06-30,4.060195925416305
2003-07-31,5.333636129016808
2003-08-31,5.3945601284938585
2003-09-30,4.52206125838639
2003-10-31,5.249606470443178
2003-11-30,5.362130717915558
2003-12-31,6.0959618853331206
2004-01-31,5.042136889782033
2004-02-29,4.717354881077009
2004-03-31,4.641258052145421
2004-04-30,3.325862419664961
2004-05-31,4.169338923454932
